,LIC_1,LIC_3,LIC_31,LIC_35,LIC_37,LIF_22,LIF_24,LIF_26,LIF_28,LIF_30
Hprt1,112.509865,67.624115,63.770458,64.298981,60.347015,56.762897,55.005672,53.291283,65.625954,63.593929
Hps1,2.440256,6.258646,14.420094,8.571464,10.373703,16.561287,11.40422,11.933642,14.774473,10.699654
Hps3,1.973333,1.784799,6.018437,3.750791,3.574607,6.888121,5.336166,5.795833,4.887377,2.754157
Hps4,24.878893,10.350107,10.142454,17.214983,44.189949,19.097025,27.914267,39.581547,29.661964,34.128876
Hps5,1.278335,1.083483,1.308487,1.625094,2.427107,3.871345,2.950623,3.227972,3.754653,2.41409
Hps6,2.577042,1.787581,2.059351,3.322096,2.404021,3.691791,2.275181,2.721571,3.122553,2.954768
Hpse,2.451835,1.524654,3.045536,3.090417,4.451401,3.768624,3.752634,5.121662,5.030691,3.997812
Hpse2,0.018384,0,0.026246,0,0,0,0,0,0,0.072024
Hpx,1953.632568,3009.752441,4467.193359,6344.708984,4434.769043,6980.563965,4980.501465,4352.973633,5014.11377,3337.079102
Hr,0.139574,0.066341,0.029802,0.131897,0.114547,0.271071,0.24594,0.313381,0.504368,0.232614
Hras,45.575939,65.397408,54.374691,61.184345,52.073738,58.041424,47.797424,76.582642,65.618866,55.401745
Hrc,2.941207,0.298041,0.518201,0.94585,1.32593,0.116639,1.179635,0.447402,0.82588,0.486689
Hrct1,0.799586,1.141932,1.032578,0.61656,0.945334,0.426746,2.058865,1.534325,1.014636,0.729125
Hrg,807.302368,348.950836,1109.182861,717.485596,676.604004,1803.164062,683.705566,664.403992,742.461975,1411.744751
Hrh1,0,0,0,0,0,0,0,0,0,0.082881
Hrh2,0.025786,0.100229,0.036041,0,0,0.102868,0.054986,0.156324,0.033303,0.048822
Hrh3,0.211177,0.092308,0,0.044461,0,0,0,0,0,0
Hrh4,0,0,0,0,0,0,0,0,0,0
Hrk,0.579389,0,0,0.021169,0.041331,0.19759,0,0.323877,0.045133,0.115288
Hrob,0.067862,0,0.041825,0.033502,0.131659,0.163114,0.05249,0.2663,0.055741,0.087722
Hs1bp3,1.597268,1.98251,3.635852,4.001942,5.784213,7.0058,3.631244,4.303121,4.469199,3.555977
Hs2st1,4.229,3.506596,7.499288,7.152716,5.044634,10.827025,6.698178,6.62195,8.250168,4.929454
Hs3st1,0.099684,0.402771,0.07655,0.482241,0.500088,1.125326,0.833928,0.946788,1.1686,0.55805
Hs3st2,0,0,0,0.121473,0.107078,0,0,0,0,0
Hs3st3a1,0.186013,0.010299,1.460278,0.291151,1.388932,3.349524,1.159253,0.486822,1.57683,0.559509
Hs3st3b1,0.744658,0.266996,6.133365,0.437688,1.374953,11.15543,3.939459,2.187232,5.065174,1.429948
Hs3st4,0,0,0,0,0,0,0,0,0,0
Hs3st5,0,0,0,0,0,0.109127,0,0.10413,0.204036,0.255
Hs3st6,0.161098,0,0.419405,0.315901,0.197579,0.984258,0.124552,0.213501,0.180354,0
Hs6st1,5.779819,4.213281,6.910297,6.283899,6.920503,13.68629,7.26561,7.715659,8.203168,7.467444
Hs6st2,0.029368,0.067607,0.133022,0,0,0.091708,0.245992,0.029696,0,0
Hs6st3,0,0,0,0,0,0,0,0,0,0
Hsbp1,84.488052,103.896187,109.077774,98.9105,124.244926,127.76825,138.920639,119.566589,107.946701,113.955482
Hsbp1l1,0,0,0,0,0,0,0,0,0,0
Hscb,14.450102,17.049265,15.715044,16.358538,10.445742,12.538958,11.455336,8.955874,10.676855,10.030866
Hsd11b1,159.310928,19.55081,79.593811,23.468098,31.801929,34.039597,18.767054,20.752439,31.34111,73.4646
Hsd11b2,0.623142,0.332868,1.068467,2.182869,1.24997,0.32711,0.752764,0.085327,1.24568,1.048525
Hsd17b1,0.392526,0.428237,0.304831,0.496332,1.184575,0.828342,0.806512,1.891469,1.391168,0.368776
Hsd17b10,164.519211,213.884811,285.993378,303.795471,191.712463,235.893967,239.570496,256.651733,259.922882,233.010513
Hsd17b11,233.021484,146.377243,341.233429,301.935547,256.476227,410.689362,380.236145,439.557404,430.970367,355.436249
Hsd17b12,22.896503,21.947483,60.343475,42.80127,26.119892,52.74007,50.557987,49.150639,53.054241,42.370892
Hsd17b13,109.496216,114.510887,162.268005,208.985794,64.649033,175.933441,119.141129,106.128815,141.641495,96.511444
Hsd17b14,4.551167,0.7896,2.31451,1.340972,4.162952,7.536179,7.888105,6.632097,8.134831,5.829811
Hsd17b2,1056.912842,1604.739624,945.803345,1327.845337,1069.37915,93.325783,295.507751,388.326843,1160.317749,976.759827
Hsd17b3,0,0,0,0,0,0,0,0,0,0.135393
Hsd17b4,159.887375,153.154221,258.263092,171.445145,165.662628,285.054749,241.285889,197.962097,199.800949,178.036713
Hsd17b6,192.012329,668.795471,909.735168,360.746979,311.169617,576.614624,871.957214,828.923889,547.073242,352.28299
Hsd17b7,21.113966,6.087839,28.845997,6.362175,7.486464,3.956038,7.882586,2.594007,6.792093,3.899485
Hsd17b8,45.524963,57.21841,52.241375,64.170692,52.680054,55.042809,54.562061,58.719803,56.193417,57.462116
Hsd3b1,0,0,0.084428,0,0,0,0,0,0,0
Hsd3b2,0,0,0,0,0,0,0,0,0,0
Hsd3b3,0,0,0,0,0,0,0,0,0,0
Hsd3b5,0.064672,0,0.062047,0,0,0,0,0.203179,0,0
Hsd3b7,68.309662,51.819973,105.216614,101.63842,98.233223,138.2724,125.812325,121.138313,112.179543,89.511787
Hsdl1,3.061882,3.167705,4.678551,4.92006,4.660824,5.532584,4.493717,3.819276,5.598808,4.211817
Hsdl2,37.140919,15.264078,35.211014,28.933802,32.490177,49.558067,68.390602,66.111641,48.694874,37.438606
Hsf1,6.121068,4.732325,5.865835,5.314364,8.421967,11.05442,8.472732,8.746457,9.308599,9.06905
Hsf2,8.643366,7.79074,8.850452,12.559393,9.743037,10.491848,11.929843,8.713783,9.681009,9.579666
Hsf2bp,0,0,0.103968,0.079429,0.171306,0.056849,0,0.064625,0.055689,0
Hsf3,0,0,0,0,0,0,0,0,0,0
Hsf4,2.392272,0.168095,0.650205,1.045829,2.105183,1.756276,2.730159,1.901322,0.869948,4.758754
Hsf5,0.060957,0.019473,0,0.048668,0.027263,0,0,0.037033,0.038971,0.098914
Hsfy2,0,0,0,0,0,0,0,0,0,0
Hsh2d,0.222735,0.329756,0.535801,0.272384,0.569855,0.46258,0.342069,0.324913,0.538483,0.170502
Hsp90aa1,49.978569,41.323093,68.586075,214.817795,172.771835,284.27182,192.502243,310.38327,213.019318,145.690903
Hsp90aa1-ps16,1.044969,0.828576,0.844623,3.056772,2.664917,2.230613,1.567968,3.448616,1.746384,2.182699
Hsp90aa1-ps17,53.611477,56.250511,29.732491,159.392502,147.687057,108.840622,100.436241,221.741501,123.095146,113.802277
Hsp90ab1,168.17099,156.440399,358.772583,609.581909,465.475586,915.320862,745.985718,802.631653,881.153442,533.790344
Hsp90ab1-ps13,0.090637,0.094407,0.170991,1.010442,0.296223,0.483684,0.356134,0.879175,0.752016,0.724746
Hsp90b1,138.84993,161.589523,259.741516,317.075317,178.644104,428.529938,331.409454,413.52417,288.984863,196.413406
