"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Bicdl1",-0.116546338806927,0.2322556108674,-0.420632830875969,0.678469844063226,0.750903797367495,-5.80353754001852
"Tigd2",0.128504904789062,1.68797173037824,0.628111980979425,0.536976641241314,0.627174916129618,-5.80354420612002
"Phf6",-0.107525484622583,1.00392769643118,-0.516957314982982,0.6108070637545,0.69320115121321,-5.8037048815478
"Sec31b",-0.159896723469425,0.612653461914979,-0.456908378470124,0.65261832166804,0.728690395972904,-5.80375305780582
"Ccnf",-0.0909686984258428,0.10069812685849,-0.417184171362931,0.680949486464691,0.753011496323205,-5.80383041808596
"Wdr70",0.119533677422326,1.6047850131921,0.614403890589983,0.545815615558465,0.63546313275223,-5.80397692117688
"Tssk6",-0.110840661438365,-0.064070873834537,-0.435073723142829,0.668127503738477,0.742088606416592,-5.80401737389358
"Litaf",0.281650374411869,5.32354557506129,0.859073047485548,0.400392614880847,0.495597987156486,-5.80405581791848
"Ackr2",-0.102080384223661,0.347382598607157,-0.427527495345862,0.673523704089569,0.746594982411634,-5.80421137214689
"Pga5",-0.159524894727686,-0.321852466513408,-0.548680672916359,0.589245751455697,0.674528230706643,-5.80427016687296
"Pnkp",-0.172400162167264,3.39791081774111,-0.833394327627794,0.414380501387537,0.509999854779714,-5.80430986318992
"Snx9",-0.144115602588765,4.51855176681524,-0.873385106567797,0.392730433698527,0.487906098941254,-5.80432320241785
"Cnnm4",0.119120886001987,1.15144411420249,0.540647367287891,0.594669940196761,0.678910360090455,-5.804334275816
"Tfpi",-0.160851517300544,2.61285970779643,-0.756482314903624,0.458103446013815,0.553071751742965,-5.80436724706561
"Rbl1",-0.0920580778117236,0.366515763428743,-0.429072870340714,0.672417143163411,0.745555754156415,-5.80436918666949
"Hspb2",-0.173903680889907,1.2006586891025,-0.547643336822936,0.589944791823253,0.675036966176871,-5.80452432890264
"Cobll1",-0.219314797146438,2.05886381960343,-0.683259289578905,0.502214931341086,0.594455638481637,-5.80465775594741
"Fbxo4",-0.195358911349715,2.93815040509509,-0.792107153459859,0.437513412001017,0.532882348496676,-5.80489145325547
"Sema3d",0.110077611795463,-0.203736074885541,0.516591622623311,0.611057796510243,0.693294030950749,-5.80494791914948
